สรุปภาพรวม (รอบบิล 2026-04)
รายรับรวมปกติ,225620
รายจ่ายรวมปกติ,25746.51
* ยอดเหล่านี้ไม่รวมโปรเจคพิเศษ

สรุปรายจ่ายแต่ละหมวดหมู่
หมวดหมู่,รายจ่ายที่ใช้ไป (บาท),งบประมาณ (บาท)
กระต่าย,1778,2000
ก้อง,1863.34,15000
ค่าของใช้,1645,1500
ค่าใช้จ่ายของคนอื่น,3313.27,1000
ค่าน้ำ,270,500
ค่าน้ำ/ไฟ,2760.49,2000
ค่าน้ำมัน,250,500
ค่าสระผม,0,2082
ค่าอาหาร,4640.75,5000
ทำฟัน,0,980
อื่นๆ,4577.23,1000
ไอ่แข็ง,240,1000
ChatGPT,0,699
custommai,674,1000
Dtac,128.4,128.4
grab,402,1000
iPhone,2065,2065
Netflix,85,85
True,994.03,995
Youtube,60,60

สรุปรายจ่ายแยกตามช่องทางชำระเงิน
ช่องทางชำระเงิน,รายจ่ายเดือนรอบบิล (บาท)
เงินสด,0
โอน,5126
บัตรเครดิต (รวมรูด),31710.449999999997
  ↳ ยกมาจากเดือนก่อน (ปกติ),4658.75
  ↳ ใช้จ่ายเดือนนี้ (ปกติ),10841.419999999998
  ↳ รูดโปรเจคพิเศษ,16210.279999999999
  ↳ จ่ายบิลแล้ว,-11059
  ยอดหนี้บิลนี้ (คงเหลือ),20651.449999999997
ช้อปปี้ (รวมรูด),5678.81
  ↳ ยกมาจากเดือนก่อน (ปกติ),0
  ↳ ใช้จ่ายเดือนนี้ (ปกติ),5120.34
  ↳ รูดโปรเจคพิเศษ,558.47

สรุปโปรเจคพิเศษ (รอบบิลนี้)
โปรเจคพิเศษ,รายจ่าย (รอบบิลนี้) (บาท)
สอบจบ,0
น้องต่ายหาหมอ,0
ทำห้อง,15175.52
กลับบ้าน,1593.23
รถของตต,3000
